BPC,Temperature (K),Time (s),BER
3,338,1E+08,2.44E-06
3,338,2E+08,0.0000467515
3,338,5E+08,0.00227202
3,338,1E+09,0.0183136
3,338,2E+09,0.0701524
3,358,1E+06,9.75248E-07
3,358,2E+06,0.0000130693
3,358,5E+06,0.000732066
3,358,1E+07,0.00851061
3,358,2E+07,0.0430409
3,358,5E+07,0.154866
3,373,1E+05,9.9464E-06
3,373,2E+05,0.00021345
3,373,5E+05,0.00707097
3,373,1E+06,0.0382294
3,373,2E+06,0.112188
2,338,5E+07,0.000335258
2,338,1E+08,0.000427543
2,338,2E+08,0.000634101
2,338,5E+08,0.00137728
2,338,1E+09,0.00298292
2,338,2E+09,0.00929113
2,338,5E+09,0.0498652
2,338,1E+10,0.122853
2,358,2E+06,0.000526761
2,358,5E+06,0.00104764
2,358,1E+07,0.00210191
2,358,2E+07,0.00547839
2,358,5E+07,0.0306572
2,358,1E+08,0.0881177
2,373,2E+05,0.000819597
2,373,5E+05,0.00196062
2,373,1E+06,0.0049309
2,373,2E+06,0.0179992
2,373,5E+06,0.0813305
